"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2013;"Malmö Isstadion";"Sweden";"Robin Stjernberg";"You";16;;3;18;;;"https://youtu.be/jBUJ0u7ZVaE?si=5QQ199jAPzb5y0sM";"https://music.apple.com/gb/album/you/607994388?i=607994549";"https://open.spotify.com/track/30nf9FXigeYnKcD8u4Yo7r?si=8c26d4152ca24b81"
2014;"B&W Hallerne";"Sweden";"Sanna Nielsen";"Undo";13;3;2;4;201;190;"https://youtu.be/5PQJI-3LW-8?si=pAXHYUDVwuKJCLM9";"https://music.apple.com/gb/album/undo/892597983?i=892598063";"https://open.spotify.com/track/3XhlY1x0LcIyHpZJB1g6WS?si=dbd8e3dc87d54f01"
2015;"Wiener Stadthalle";"Sweden";"Måns Zelmerlöw";"Heroes";10;1;1;3;363;279;"https://youtu.be/5sGOwFVUU0I?si=cwrO1bPHjWPMa3x3";"https://music.apple.com/gb/album/heroes/968817856?i=968817858";"https://open.spotify.com/track/4ciaNqHWA2IzHphZaVRzHI?si=5a95c6c4d5094af4"
2016;"Globe Arena";"Sweden";"Frans";"If I Were Sorry";9;5;8;6;122;139;"https://youtu.be/2AIPrVchJN8?si=0TXLF_p4EeNQQHil";"https://music.apple.com/gb/album/if-i-were-sorry/1084340615?i=1084340687";"https://open.spotify.com/track/6oDkCmfVcSd9NXAKk1b4Ll?si=1ae09f098b7649a4"
2017;"International Exhibition Centre";"Sweden";"Robin Bengtsson";"I Can't Go On";24;4;3;7;218;126;"https://youtu.be/yqSV81kmsbQ?si=YwAqlGr5daRlFezK";"https://music.apple.com/gb/album/i-cant-go-on/1445051806?i=1445051816";"https://open.spotify.com/track/57Y51hxqMn2j3dosW75R6n?si=40932a945947430b"
2018;"Lisbon Arena";"Sweden";"Benjamin Ingrosso";"Dance You Off";20;7;2;22;253;21;"https://youtu.be/z101xtUBflU?si=GjpuHfdrCy5Y4ePw";"https://music.apple.com/gb/album/dance-you-off/1340825986?i=1340825991";"https://open.spotify.com/track/0s3P5PImfDZYWIseR3b39D?si=0c5f0b91d4c34849"
2019;"Expo Tel Aviv";"Sweden";"John Lundvik";"Too Late for Love";9;5;2;9;241;93;"https://youtu.be/oEdWkdVKIqQ?si=sIIEiY8OK0390bPR";"https://music.apple.com/gb/album/too-late-for-love/1461488701?i=1461488704";"https://open.spotify.com/track/6Jf8Y84YSdqeJfEPDJFEZu?si=f4ebd9cfdb7042e9"
2020;"Rotterdam Ahoy";"Sweden";"The Mamas";"Move";;;;;;;"https://youtu.be/7EpSBDPlZn4?si=eBPghjeDMBT30DfK";"https://music.apple.com/gb/album/move/1498329121?i=1498329122";"https://open.spotify.com/track/19LiotxKSVs7FeVMEdHz63?si=11b61c4e0fac4227"
2021;"Rotterdam Ahoy";"Sweden";"Tusse";"Voices";25;13;17;10;46;63;"https://youtu.be/5P1ueI9j6gk?si=vJGbM5Yanb6CFL-9";"https://music.apple.com/gb/album/voices-french-version/1567060252?i=1567060253";"https://open.spotify.com/track/5zxZ7M4RgWZUHlMEwac8vt?si=6edf49f54ec9410a"
2022;"PalaOlimpico";"Sweden";"Cornelia Jakobs";"Hold Me Closer";20;4;2;6;258;180;"https://youtu.be/i777psA2gP4?si=xK1dgdrs-E61ED3x";"https://music.apple.com/gb/album/hold-me-closer/1607274606?i=1607274608";"https://open.spotify.com/track/6cTWJgNkmhATsI6RJgTPH4?si=02fd7bc740df401e"
2023;"Liverpool Arena";"Sweden";"Loreen";"Tattoo";9;1;1;2;340;243;"https://youtu.be/BE2Fj0W4jP4?si=zBGT5PxnTqhC3yVW";"https://music.apple.com/gb/album/tattoo/1672056674?i=1672056675";"https://open.spotify.com/track/1DmW5Ep6ywYwxc2HMT5BG6?si=3174f80c98f74a8e"
2024;"Malmö Isstadion";"Sweden";"Marcus & Martinus";"Unforgettable";1;9;8;11;125;49;"https://youtu.be/yekc8t0rJqA?si=n0wj3LeLETzKwsn7";"https://music.apple.com/gb/album/unforgettable/1730254314?i=1730254320";"https://open.spotify.com/track/5L8C1PZGCpZf8STcN79H5j?si=fde64b2c704147a5"
