"TableName";"id";"country";"artist";"song";"countryId";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1960";12;"Switzerland";"Anita Traversi";"Cielo e terra";7;9;7;7;;;5;5;;;"https://youtu.be/wQFa5bcRXUE?si=XdR9g6T4x5bBtTVY";"https://music.apple.com/gb/album/cielo-e-terra/1586707420?i=1586707443";"https://open.spotify.com/track/4srnL6rMLR8SD50IlZFOMW?si=053fd6235a74483c"
"1960";13;"United Kingdom";"Bryan Johnson";"Looking High, High, High";10;1;2;2;;;25;25;;;"https://youtu.be/HZCa_yima7w?si=wb_1tksdVFIo3kWn";"https://music.apple.com/gb/album/looking-high-high-high/831982884?i=831982903";"https://open.spotify.com/track/0nYj9GfRDlR0LZRvt69Zcg?si=4b4762f99e514d54"
"1961";1;"Austria";"Jimmy Makulis";"Sehnsucht";8;3;12;12;;;1;1;;;"https://youtu.be/GYYr9pLQNOQ?si=VLnTFU8Oql98F7Fm";;"https://open.spotify.com/track/0HkkJBB3PnKdqSc4GClzml?si=34d3a9057520414b"
"1961";2;"Belgium";"Bob Benny";"September, gouden roos";1;11;12;12;;;1;1;;;"https://youtu.be/lwEBgI8-KLs?si=Nxyx3tbAc8k95Rgu";;"https://open.spotify.com/track/1aACvHfuj8DqgSK6SPlKRo?si=1841c6aa8c3347e7"
"1961";3;"Denmark";"Dario Campeotto";"Angelique";9;13;5;5;;;12;12;;;"https://youtu.be/OdhVPUcimAM?si=yB2fisaO1S7aVvbU";"https://music.apple.com/gb/album/angelique/1442328355?i=1442328363";"https://open.spotify.com/track/7ETXytirTgnMJzyxl4e7UI?si=14f27a0665384da3"
"1961";4;"Finland";"Laila Kinnunen";"Valoa ikkunassa";14;4;9;9;;;6;6;;;"https://youtu.be/xMu44znU-8A?si=H8cHmrAMIkM8YXIT";"https://music.apple.com/gb/album/valoa-ikkunassa/257208222?i=257209286";"https://open.spotify.com/track/5ePzm2kj1yhoHXQt7Wg9nD?si=a639f45579f844fc"
"1961";5;"France";"Jean-Paul Mauric";"Printemps (avril carillonne)";2;9;4;4;;;13;13;;;"https://youtu.be/Ci-6Sl2jO_4?si=YquNcmZU3uJlAYv4";"https://music.apple.com/gb/album/printemps-avril-carillonne-feat-alan-gate-et-son-orchestre/917413977?i=917413980";"https://open.spotify.com/track/7vmANwJM8aty7EnbKITIhg?si=34ef366ad3ce4396"
"1961";6;"Germany";"Lale Andersen";"Einmal sehen wir uns wieder";3;8;10;10;;;3;3;;;"https://youtu.be/FGAfCD0mzVc?si=lyK3mUx4WWDsphNn";"https://music.apple.com/gb/album/einmal-sehen-wir-uns-wieder/1081320511?i=1081320923";"https://open.spotify.com/track/3FqZT5g5ijobgSQK04TyGT?si=7f2f0d9529d94010"
"1961";7;"Italy";"Betty Curtis";"Al di là";4;16;5;5;;;12;12;;;"https://youtu.be/yUt5XlrAAY4?si=Bx0tcwL3wbTrBCkq";"https://music.apple.com/gb/album/al-di-la/207922231?i=207922710";"https://open.spotify.com/track/4AZrGY8svkIylX1aPJY7LB?si=5294bcc7465843d2"
"1961";8;"Luxembourg";"Jean-Claude Pascal";"Nous les amoureux";5;14;1;1;;;31;31;;;"https://youtu.be/kPSYrOQEkHQ?si=aVKBVxeVjKWBElx3";"https://music.apple.com/gb/album/nous-les-amoureux/435744646?i=435744724";"https://open.spotify.com/track/35PWl4T8d2U3a5AboajXXw?si=f2ff8db80d4e4409"
"1961";9;"Monaco";"Colette Deréal";"Allons, allons les enfants";12;2;9;9;;;6;6;;;"https://youtu.be/mg1ydx9FCyA?si=zmhAXVsdhMlFks00";"https://music.apple.com/gb/album/allons-allons-les-enfants/513399207?i=513400330";"https://open.spotify.com/track/3xSysXRdlCITE3KBxpCh9X?si=e432b4763fbe4a0d"
"1961";10;"Netherlands";"Greetje Kauffeld";"Wat een dag";6;6;9;9;;;6;6;;;"https://youtu.be/eBnIF9gQxkg?si=6i1qNJay-vZTZ5qv";;"https://open.spotify.com/track/6U0jLB9NlF9DdvHaV2Pi6O?si=091255f28f3b4ae4"
"1961";11;"Norway";"Nora Brockstedt";"Sommer i Palma";13;12;6;6;;;10;10;;;"https://youtu.be/5i_BCD46-fo?si=3iRVY7-vFKd1rYZq";"https://music.apple.com/gb/album/sommer-i-palma/296182234?i=296182366";"https://open.spotify.com/track/4NPpSIxpQaGDWxSHvCmWGD?si=85b1df1cfffc4eed"
"1961";12;"Spain";"Conchita Bautista";"Estando contigo";15;1;8;8;;;8;8;;;"https://youtu.be/qPOP5gTnGcY?si=C44TC1iMQZLcvnYl";"https://music.apple.com/gb/album/estando-contigo/168755567?i=168756231";"https://open.spotify.com/track/5DIovqjO8pCMkA6L1FXrXl?si=cc9e86ccdee841cf"
"1961";13;"Sweden";"Lill-Babs";"April, april";11;7;11;11;;;2;2;;;"https://youtu.be/JzldSvZG6cc?si=g2LhIR1lYNLTRrzV";"https://music.apple.com/gb/album/april-april/1455083010?i=1455083019";"https://open.spotify.com/track/6dkODYmzFy7ocAszlfPlM1?si=9bdfdda8c61e43c6"
"1961";14;"Switzerland";"Franca di Rienzo";"Nous aurons demain";7;10;3;3;;;16;16;;;"https://youtu.be/03-NjbYQz14?si=BwL39Od-uPDBhQJe";;"https://open.spotify.com/track/4oI6GRJLKLZHPaFlCs8ONs?si=22c1b193e86049a5"
"1961";15;"United Kingdom";"The Allisons";"Are You Sure?";10;15;2;2;;;24;24;;;"https://youtu.be/ySufc64ssis?si=RL4Xr1OTe_i684WO";"https://music.apple.com/gb/album/are-you-sure/992746069?i=992746076";"https://open.spotify.com/track/49On0KRTrgJHsrj8lZGwTq?si=3d6a8810d8664fa9"
"1961";16;"Yugoslavia";"Ljiljana Petrović";"Neke davne zvezde";16;5;7;7;;;9;9;;;"https://youtu.be/0F7t2NFx8Ew?si=aU3HHTvNZ5Kdh557";"https://music.apple.com/gb/album/neke-davne-zvezde/582937467?i=582937611";"https://open.spotify.com/track/5iifgVNCvItrSpFNxKjAgG?si=0b8f6204d076480e"
"1962";1;"Austria";"Eleonore Schwarz";"Nur in der Wiener Luft";8;4;9;9;;;0;0;;;"https://youtu.be/1cRmfgPeK40?si=4rDU7J-Y6Teoe3d5";;"https://open.spotify.com/track/52VS1wnUiK0WTYfQXb13u6?si=b4f3ec6894744bef"
"1962";2;"Belgium";"Fud Leclerc";"Ton nom";1;2;9;9;;;0;0;;;"https://youtu.be/nJ5wY_NIEGM?si=gHbOmGnh5Cr6Ondh";;"https://open.spotify.com/track/0OgJ20kY3ls8xnPWvBTqBK?si=0a69e1d8148b451d"
"1962";3;"Denmark";"Ellen Winther";"Vuggevise";9;5;8;8;;;2;2;;;"https://youtu.be/fdEXLuIFSrA?si=oJ_Rw2P72zjRA4dW";"https://music.apple.com/gb/album/vuggevise/1053387687?i=1053387867";"https://open.spotify.com/track/2k5OAYsdVSjLmgHQxxfR5U?si=932190678c014e8f"
"1962";4;"Finland";"Marion Rung";"Tipi-tii";14;1;6;6;;;4;4;;;"https://youtu.be/vn3ufKi2PXw?si=-5chakgeVQz8WItq";"https://music.apple.com/gb/album/tipi-tii/250393069?i=250393079";"https://open.spotify.com/track/7r0GgmwNre1NtsrRA00bMa?si=0eda938bd9d744b1"
"1962";5;"France";"Isabelle Aubret";"Un premier amour";2;9;1;1;;;26;26;;;"https://youtu.be/ZfnrtvGkY7w?si=tXlsQwzFHG3qjryq";"https://music.apple.com/gb/album/un-premier-amour/883702876?i=883706272";"https://open.spotify.com/track/63CyM82WmgIkfiXDF5MBeX?si=0c9059f2b2494fe5"
"1962";6;"Germany";"Conny Froboess";"Zwei kleine Italiener";3;7;5;5;;;9;9;;;"https://youtu.be/CudM7KUkXms?si=SaHVOs8FsYxcU7xb";"https://music.apple.com/gb/album/zwei-kleine-italiener/714012639?i=714012834";"https://open.spotify.com/track/2v3TG35plidR486Cltpgxs?si=e159b3f56495476d"
"1962";7;"Italy";"Claudio Villa";"Addio, addio";4;15;7;7;;;3;3;;;"https://youtu.be/7IViNM-CvlQ?si=obFuEEY9xGoJ8fv_";"https://music.apple.com/gb/album/addio-addio/97980852?i=97980826";"https://open.spotify.com/track/1sXVZGCgCbaflhPInSw0LJ?si=9fbc69f5175d4f8d"
