"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
2010;"Telenor Arena";"Belgium";"Tom Dice";"Me and My Guitar";7;9;2;14;185;76;"https://youtu.be/lTsnwGrPKEI?si=9K5sF9b-GK0GfKJ3";"https://music.apple.com/gb/album/me-and-my-guitar/1684244544?i=1684244545";"https://open.spotify.com/track/2NN9Tsj56bSWq2cAklqsPB?si=c652fb298a084a0c"
2011;"Düsseldorf Arena";"Belgium";"Witloof Bay";"With Love Baby";;;;;;;"https://youtu.be/nTLAzDVu80E?si=RMbpuEO4-tqoQfJz";"https://music.apple.com/gb/album/with-love-baby/480173505?i=480173969";"https://open.spotify.com/track/1iSpYnxIYAg8gL7IXVqocP?si=56c28ee7b6be46e2"
2012;"Baku Crystal Hall";"Belgium";"Iris";"Would You?";;;;;;;"https://youtu.be/7Z_5s5gnrCM?si=0cC2cbPHxyayLeI4";;
2013;"Malmö Isstadion";"Belgium";"Roberto Bellarosa";"Love Kills";6;;11;17;;;"https://youtu.be/dCl7OUFNSCA?si=Z20imSoXOaQe1DJl";"https://music.apple.com/gb/album/love-kills/618160162?i=618160163";"https://open.spotify.com/track/0FyoA6hNmCcGN5JKx8Rddp?si=200062819050464c"
2014;"B&W Hallerne";"Belgium";"Axel Hirsoux";"Mother";;;;;;;"https://youtu.be/wr3m4ghnq6w?si=Lp542iyI31OXqRyx";"https://music.apple.com/gb/album/mother/1104114836?i=1104115200";"https://open.spotify.com/track/2hzIMz6NUX0oOlLCtcnXBn?si=3dbb0ae38ed04aca"
2015;"Wiener Stadthalle";"Belgium";"Loïc Nottet";"Rhythm Inside";13;4;5;4;187;195;"https://youtu.be/G48p8eNhnd8?si=bezbfGFdpx0yk1IC";"https://music.apple.com/gb/album/rhythm-inside/974033470?i=974033474";"https://open.spotify.com/track/3O2MsMZHCgSbRGEca5ML1N?si=db9689af9c794103"
2016;"Globe Arena";"Belgium";"Laura Tesoro";"What's the Pressure";1;10;5;16;130;51;"https://youtu.be/xDBjhAGaeWg?si=JyI0-RM8s85Ev_GF";"https://music.apple.com/gb/album/whats-the-pressure/1103495294?i=1103495949";"https://open.spotify.com/track/4xgRKaIOiRJK5SsPRqjzlA?si=82ac2b61904a4175"
2017;"International Exhibition Centre";"Belgium";"Blanche";"City Lights";23;3;9;3;108;255;"https://youtu.be/oxsCmChDYwA?si=2ZwmmQ9ro8pyK3GW";"https://music.apple.com/gb/album/city-lights/1212330942?i=1212331050";"https://open.spotify.com/track/3kXqUXnukwkpsxhW8emNC0?si=b817182a85c34ccb"
2018;"Lisbon Arena";"Belgium";"Sennek";"A Matter of Time";;;;;;;"https://youtu.be/Z2cZE2gCfWg?si=9ouiSnlgt0nYXW99";"https://music.apple.com/gb/album/a-matter-of-time/1354438270?i=1354438835";"https://open.spotify.com/track/2776nsJOmk3psqGSocg6lK?si=06b3cfd9e5f94ac9"
2019;"Expo Tel Aviv";"Belgium";"Eliot";"Wake Up";;;;;;;"https://youtu.be/iFB9NnjU4ns?si=ChiJ2MNbGk23EvnV";"https://music.apple.com/gb/album/wake-up/1461487038?i=1461487039";"https://open.spotify.com/track/4oQQAaU8J9A3JckIuNYCTv?si=d56b2f86ef4345c2"
2020;"Rotterdam Ahoy";"Belgium";"Hooverphonic";"Release Me";;;;;;;"https://youtu.be/lAqjksxc4iA?si=ARxR9IrwT98fxM_l";"https://music.apple.com/gb/album/release-me/1497287648?i=1497287652";"https://open.spotify.com/track/3DxAwRSH1lhTneGRoWZyYq?si=6bed1e0af2b8448e"
2021;"Rotterdam Ahoy";"Belgium";"Hooverphonic";"The Wrong Place";4;19;13;22;71;3;"https://youtu.be/HbpxcUMtjwY?si=XJfMLN_ks_tRaWVn";"https://music.apple.com/gb/album/the-wrong-place/1563179544?i=1563180234";"https://open.spotify.com/track/3qebp3gdFteTRN69PZ9zHu?si=e663f0c061e44197"
2022;"PalaOlimpico";"Belgium";"Jérémie Makiese";"Miss You";16;19;13;21;59;5;"https://youtu.be/sB09advfF6E?si=dDYyIDTETgtTA475";"https://music.apple.com/gb/album/miss-you/1612803809?i=1612804062";"https://open.spotify.com/track/4VgSGm7CroAlCCt9GKQ75Z?si=e097f90d234e4345"
2023;"Liverpool Arena";"Belgium";"Gustaph";"Because of You";16;7;7;12;127;55;"https://youtu.be/U1xD14IMKtg?si=vmaxHTslix86tK-J";"https://music.apple.com/gb/album/because-of-you/1660050837?i=1660050838";"https://open.spotify.com/track/320jqrATpl9762bCQkmLDf?si=0af593c1577d4675"
2024;"Malmö Isstadion";"Belgium";"Mustii";"Before the Party's Over";;;;;;;"https://youtu.be/WCe9zrWEFNc?si=Ne9vqWlfoFZ0O9Ad";"https://music.apple.com/gb/album/before-the-partys-over/1728884110?i=1728884484";"https://open.spotify.com/track/1A4pbfIyAuyZkIrRr4tK2X?si=04c1044517d84518"
2025;"St. Jakobshalle";"Belgium";"Red Sebastian";"Strobe Lights";;;;;;;"https://youtu.be/oVrsnGFmuss?si=HkpFaMuOU8wFZx3u";"https://music.apple.com/gb/album/strobe-lights/1791066274?i=1791066277";"https://open.spotify.com/track/0Tx2AeVKiYQjk8u9p4j6kV?si=1b309fccefbe4260"
