"year","venue_name","country_name","artist_name","song_name","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1994,"Point Theatre","Netherlands","Willeke Alberti","Waar is de zon",13,23,23,NULL,4,NULL,"https://youtu.be/QzufE1j3FgE?si=we-oVNBxTKBlmCvU","https://music.apple.com/gb/album/waar-is-de-zon-live/1442469257?i=1442470084","https://open.spotify.com/track/72WaXgWcQwiFNE6YWhsH3B?si=c7bfbeb57e314e57"
1996,"Oslo Spektrum","Netherlands","Maxine and Franklin Brown","De eerste keer",15,7,7,NULL,78,NULL,"https://youtu.be/n9ZwWM1Bfas?si=NC1W9h-lnrl_k3kg","https://music.apple.com/gb/album/de-eerste-keer/1447390723?i=1447390724","https://open.spotify.com/track/16tt5gsCest1TGUDsbjxed?si=53366952836d4a36"
1997,"Point Theatre","Netherlands","Mrs. Einstein","Niemand heeft nog tijd",8,22,21,18,5,0,"https://youtu.be/r91fkxOkegY?si=zsHKg6jnYnoxb-zo",NULL,NULL
1998,"National Indoor Arena","Netherlands","Edsilia","Hemel en aarde",25,18,15,16,3,13,"https://youtu.be/O_TDK5Q4BjA?si=o3gy7Rg00xWtgcSq","https://music.apple.com/gb/album/hemel-aarde/476565520?i=476565685","https://open.spotify.com/track/5LVFTvXCObhitD5wDN799x?si=3822c8499a324019"
1999,"International Convention Center","Netherlands","Marlayne","One Good Reason",11,8,6,10,14,57,"https://youtu.be/0MjAGv4jws8?si=clCAVgPnQEyER5YE","https://music.apple.com/gb/album/one-good-reason/359101302?i=359101307","https://open.spotify.com/track/0nSf8MYs2vZvA4uhdO8AfA?si=58fd21f83fc34bfe"
2000,"Globe Arena","Netherlands","Linda","No Goodbyes",19,13,22,12,3,37,"https://youtu.be/uuDf5GBnGpA?si=kBZYIOZRx_RWMSYC","https://music.apple.com/gb/album/no-goodbyes-radio-edit/1027974017?i=1027974025","https://open.spotify.com/track/4OxAOffBcJqxGFn9R5KxYV?si=c3bab99eb3764c0f"
2001,"Parken Stadium","Netherlands","Michelle","Out on My Own",1,18,17,18,1,15,"https://youtu.be/5h2Kbu-aPu0?si=zEb_-ZnZOBJ-QQgv",NULL,NULL
2003,"Skonto Olympic Hall","Netherlands","Esther Hart","One More Night",14,13,3,13,17,28,"https://youtu.be/ojI8Z48w3Ck?si=dibSS3uOiPddT-o3","https://music.apple.com/gb/album/one-more-night/355717721?i=355717726","https://open.spotify.com/track/06AT53Zqpg2uQG66ihdLrx?si=786b755776d644c1"
2004,"Abdi İpekçi Arena","Netherlands","Re-union","Without You",7,20,NULL,20,NULL,11,"https://youtu.be/phHQrLvEBUU?si=9UMuPSEnT47cFhPe",NULL,NULL
2005,"Palace of Sports","Netherlands","Glennis Grace","My Impossible Dream",NULL,NULL,NULL,NULL,NULL,NULL,"https://youtu.be/S_Yy3L4mJKo?si=siAQSUQL8kGveEek","https://music.apple.com/gb/album/my-impossible-dream/1449257223?i=1449257224","https://open.spotify.com/track/54Dj26oMKU1DL7uKOMILZA?si=6422f86f84454060"
